type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,measured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std,t_start,t_end
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.709899008357425,0.0,24.808952996000002,0.0,7.709899008357425,0.0,0.0,0.0,1727253618.103623,1727253642.925378
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,10.022098398668822,0.0,31.165186326,0.0,10.022098398668822,0.0,0.0,0.0,1727253618.095038,1727253649.269215
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,21.37746332847356,0.0,14.261708931000001,0.0,21.37746332847356,0.0,0.0,0.0,1727253649.5018797,1727253663.7723427
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.358547420603195,0.0,29.621691074,0.0,34.358547420603195,0.0,0.0,0.0,1727253643.1988263,1727253672.8282359
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.615007284829094,0.0,28.591833932,0.0,19.615007284829094,0.0,0.0,0.0,1727253664.0088623,1727253692.6034665
2,move_action_node_robot2,move,robot2_clean2_clean3,False,0.0,,12.275857901587361,0.0,25.553805557,0.0,12.275857901587361,0.0,0.0,0.0,1727253673.1104298,1727253698.6691158
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,17.59514642476753,0.0,19.561345061,0.0,17.59514642476753,0.0,0.0,0.0,1727253692.9081483,1727253712.4736521
2,clean_action_node_robot2,clean,robot2_room3_clean3,False,0.0,,41.740283402466154,0.0,33.272522810000005,0.0,41.740283402466154,0.0,0.0,0.0,1727253698.9256256,1727253732.202799
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.4783466547827,0.0,25.711798742000003,0.0,20.4783466547827,0.0,0.0,0.0,1727253712.7023218,1727253738.42655
2,move_action_node_robot2,move,robot2_clean3_hall,False,0.0,,12.028750082059606,0.0,14.911730975000001,0.0,12.028750082059606,0.0,0.0,0.0,1727253732.5035982,1727253747.419033
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100907876,0.0,0.0,0.0,5.0,0.0,1727253747.7015662,1727253757.809294
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,5.295300548706059,0.0,10.01428198,0.0,5.295300548706059,0.0,0.0,0.0,1727253760.8766775,1727253770.897984
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.187515505496627,0.0,17.711955409,0.0,13.187515505496627,0.0,0.0,0.0,1727253760.880528,1727253778.6017294
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean2,False,0.0,,5.6182606250786975,0.0,6.2038821,0.0,5.6182606250786975,0.0,0.0,0.0,1727253782.02174,1727253788.23566
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean1,False,0.0,,7.6283106505168465,0.0,11.363122160000001,0.0,7.6283106505168465,0.0,0.0,0.0,1727253782.02162,1727253793.3904827
2,clean_action_node_robot2,clean,robot2_room1_clean1,False,0.0,,20.94450013990251,0.0,15.861425218,0.0,20.94450013990251,0.0,0.0,0.0,1727253793.6408591,1727253809.506471
2,clean_action_node_robot1,clean,robot1_room2_clean2,False,0.0,,34.55702677333269,0.0,29.41068033,0.0,34.55702677333269,0.0,0.0,0.0,1727253788.536295,1727253817.950648
2,move_action_node_robot2,move,robot2_clean1_entrance,False,0.0,,11.41455828094911,0.0,12.761188207,0.0,11.41455828094911,0.0,0.0,0.0,1727253809.824347,1727253822.587726
2,move_action_node_robot1,move,robot1_clean2_clean3,False,0.0,,12.344267764695179,0.0,14.963024235,0.0,12.344267764695179,0.0,0.0,0.0,1727253818.2256403,1727253833.193455
2,attend_action_node_robot2,attend_person,robot2_persona_entrance_sofa,False,0.0,,20.311120340211694,0.0,23.515870962,0.0,20.311120340211694,0.0,0.0,0.0,1727253822.822296,1727253846.3482711
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.44816643583789,0.0,35.489041313,0.0,38.44816643583789,0.0,0.0,0.0,1727253833.4435842,1727253868.938006
2,move_action_node_robot1,move,robot1_clean3_hall,False,0.0,,12.039708222015296,0.0,15.411744584000001,0.0,12.039708222015296,0.0,0.0,0.0,1727253869.2205799,1727253884.634702
2,patrol_action_node_robot1,patrol,robot1_hall,False,0.0,,0.0,0.0,10.100597797,0.0,0.0,0.0,5.0,0.0,1727253884.9114428,1727253895.0197783
2,move_action_node_robot1,move,robot1_hall_start_wp_robot1,False,0.0,,2.7304247816878333,0.0,7.272014281000001,0.0,2.7304247816878333,0.0,0.0,0.0,1727253898.1796813,1727253905.4549556
2,move_action_node_robot2,move,robot2_sofa_entrance,False,0.0,,20.68368373399922,0.0,24.212219497000003,0.0,20.68368373399922,0.0,0.0,0.0,1727253898.1826966,1727253922.3977027
2,move_action_node_robot2,move,robot2_entrance_start_wp_robot2,False,0.0,,4.226617034037145,0.0,8.111894993,0.0,4.226617034037145,0.0,0.0,0.0,1727253922.6765127,1727253930.7955587
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean2,False,0.0,,5.817208564607007,0.0,6.613752628,0.0,5.817208564607007,0.0,0.0,0.0,1727253934.4274077,1727253941.0457003
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean1,False,0.0,,7.675930450064982,0.0,11.212289745000001,0.0,7.675930450064982,0.0,0.0,0.0,1727253934.432244,1727253945.6485643
2,clean_action_node_robot2,clean,robot2_room1_clean1,False,0.0,,21.779116425960687,0.0,14.911416583000001,0.0,21.779116425960687,0.0,0.0,0.0,1727253945.9460032,1727253960.8606858
2,clean_action_node_robot1,clean,robot1_room2_clean2,False,0.0,,34.989544677254436,0.0,28.161810347000003,0.0,34.989544677254436,0.0,0.0,0.0,1727253941.3280046,1727253969.4965177
2,move_action_node_robot1,move,robot1_clean2_entrance,False,0.0,,13.879190743381828,0.0,17.112443913,0.0,13.879190743381828,0.0,0.0,0.0,1727253969.722914,1727253986.842389
2,move_action_node_robot2,move,robot2_clean1_clean3,False,0.0,,19.879330384936086,0.0,32.492723282,0.0,19.879330384936086,0.0,0.0,0.0,1727253961.1254535,1727253993.622744
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.45617246600384,0.0,25.212743134,0.0,20.45617246600384,0.0,0.0,0.0,1727253987.1338496,1727254012.3503535
2,clean_action_node_robot2,clean,robot2_room3_clean3,False,0.0,,38.32105798543455,0.0,34.142331158000005,0.0,38.32105798543455,0.0,0.0,0.0,1727253993.9402187,1727254028.0877893
