type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,measured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std,t_start,t_end
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,8.05657538968881,0.0,19.514683182000002,0.0,8.05657538968881,0.0,0.0,0.0,1727286317.2802656,1727286336.799946
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.825558290486779,0.0,32.101473091,0.0,9.825558290486779,0.0,0.0,0.0,1727286317.28432,1727286349.394675
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,20.705006738522705,0.0,15.235298187000001,0.0,20.705006738522705,0.0,0.0,0.0,1727286349.6845484,1727286364.9292302
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.334858832937826,0.0,30.171961685000003,0.0,34.334858832937826,0.0,0.0,0.0,1727286337.0791416,1727286367.2569156
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.133706564048573,0.0,11.662749585,0.0,9.133706564048573,0.0,0.0,0.0,1727286367.4837282,1727286379.150407
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.627528180556258,0.0,23.410745998000003,0.0,19.627528180556258,0.0,0.0,0.0,1727286365.1860127,1727286388.599265
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.10039894,0.0,0.0,0.0,5.0,0.0,1727286379.3754117,1727286389.4846897
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,37.98881402065227,0.0,38.041038261000004,0.0,37.98881402065227,0.0,0.0,0.0,1727286388.901315,1727286426.9447606
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.616064705074493,0.0,21.611904094,0.0,20.616064705074493,0.0,0.0,0.0,1727286427.1805532,1727286448.7964168
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.608635840809907,0.0,24.461774473000002,0.0,20.608635840809907,0.0,0.0,0.0,1727286449.0892708,1727286473.55732
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,5.031555990665219,0.0,9.661486535,0.0,5.031555990665219,0.0,0.0,0.0,1727286479.2298107,1727286488.8941395
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.085888264588137,0.0,17.46257461,0.0,13.085888264588137,0.0,0.0,0.0,1727286479.2254937,1727286496.6906865
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.6642322628678095,0.0,9.452086866,0.0,7.6642322628678095,0.0,0.0,0.0,1727286503.0660005,1727286512.5222156
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.579496173653572,0.0,20.891416922,0.0,9.579496173653572,0.0,0.0,0.0,1727286503.0719578,1727286523.9677806
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,21.112624653607572,0.0,15.111436543000002,0.0,21.112624653607572,0.0,0.0,0.0,1727286524.2812371,1727286539.3995588
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.60415734892121,0.0,29.031932048,0.0,34.60415734892121,0.0,0.0,0.0,1727286512.7834654,1727286541.8195596
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.019971128063153,0.0,10.761266317,0.0,9.019971128063153,0.0,0.0,0.0,1727286542.0719614,1727286552.8357403
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100365709,0.0,5.0,0.0,5.0,0.0,1727286553.0592537,1727286563.1660762
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.82322549336006,0.0,23.512935251000002,0.0,19.82322549336006,0.0,0.0,0.0,1727286539.6726468,1727286563.1880887
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.55003241786039,0.0,38.623130127,0.0,38.55003241786039,0.0,0.0,0.0,1727286563.4838345,1727286602.11036
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.41769956209787,0.0,23.261034335,0.0,20.41769956209787,0.0,0.0,0.0,1727286602.3710012,1727286625.6348135
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.439390558439012,0.0,24.772096625000003,0.0,20.439390558439012,0.0,0.0,0.0,1727286625.8847075,1727286650.6604915
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,4.981023128859207,0.0,10.061489323,0.0,4.981023128859207,0.0,0.0,0.0,1727286656.7254062,1727286666.7912135
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.085571194261789,0.0,17.262859354,0.0,13.085571194261789,0.0,0.0,0.0,1727286656.7269747,1727286673.9936304
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.715397456236159,0.0,18.951083308,0.0,7.715397456236159,0.0,0.0,0.0,1727286680.8331313,1727286699.7897482
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,10.31765962973768,0.0,20.982455597,0.0,10.31765962973768,0.0,0.0,0.0,1727286680.8222845,1727286701.8095295
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,21.033420238991248,0.0,14.861875394,0.0,21.033420238991248,0.0,0.0,0.0,1727286702.0476983,1727286716.9134817
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.32140917041496,0.0,29.372060016000002,0.0,34.32140917041496,0.0,0.0,0.0,1727286700.042742,1727286729.419965
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.21180094864341,0.0,10.910804772,0.0,9.21180094864341,0.0,0.0,0.0,1727286729.729789,1727286740.6435566
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.5763107403142,0.0,25.611451754,0.0,19.5763107403142,0.0,0.0,0.0,1727286717.2314315,1727286742.8460507
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100365547,0.0,5.0,0.0,5.0,0.0,1727286740.9186249,1727286751.022944
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.05240508114197,0.0,32.371661758,0.0,38.05240508114197,0.0,0.0,0.0,1727286743.1489685,1727286775.5252914
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,21.501635166717985,0.0,22.211873486,0.0,21.501635166717985,0.0,0.0,0.0,1727286775.8312988,1727286798.0467932
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,27.93893584013724,0.0,25.721786254,0.0,27.93893584013724,0.0,0.0,0.0,1727286798.3421516,1727286824.0675435
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,4.982997717317063,0.0,10.06189556,0.0,4.982997717317063,0.0,0.0,0.0,1727286830.1412416,1727286840.2082016
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.072077782152375,0.0,17.861875206,0.0,13.072077782152375,0.0,0.0,0.0,1727286830.1562786,1727286848.0202713
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.66397790707865,0.0,13.121942348000001,0.0,7.66397790707865,0.0,0.0,0.0,1727286854.9452775,1727286868.0715811
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.770426452295544,0.0,24.422855418,0.0,9.770426452295544,0.0,0.0,0.0,1727286854.9439807,1727286879.3705297
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,21.996182860255118,0.0,14.472367957000001,0.0,21.996182860255118,0.0,0.0,0.0,1727286879.6654088,1727286894.145343
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.62610457555648,0.0,28.861198107000003,0.0,34.62610457555648,0.0,0.0,0.0,1727286868.3586962,1727286897.226282
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.050321505740925,0.0,10.864199723,0.0,9.050321505740925,0.0,0.0,0.0,1727286897.5454755,1727286908.4134212
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100377126000001,0.0,5.0,0.0,5.0,0.0,1727286908.6322536,1727286918.7387636
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.65710856407641,0.0,28.09171514,0.0,19.65710856407641,0.0,0.0,0.0,1727286894.4406865,1727286922.5353227
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.5468692041688,0.0,34.811785125,0.0,38.5468692041688,0.0,0.0,0.0,1727286922.8700469,1727286957.6843984
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.58594087628469,0.0,22.011301143,0.0,20.58594087628469,0.0,0.0,0.0,1727286957.941376,1727286979.9550626
