type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,measured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std,t_start,t_end
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean2,False,0.0,,6.023167679589623,0.0,7.461184212,0.0,6.023167679589623,0.0,1.4380165324103773,0.0,1720009232.4666188,1720009239.9309337
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean1,False,0.0,,7.841353747983048,0.0,11.912725947,0.0,7.841353747983048,0.0,4.0713721990169525,0.0,1720009232.4654527,1720009244.3811867
2,clean_action_node_robot2,clean,robot2_room1_clean1,False,0.0,,21.058878855340623,0.0,13.986201157,0.0,21.058878855340623,0.0,-7.072677698340623,0.0,1720009246.565003,1720009260.55849
2,clean_action_node_robot1,clean,robot1_room2_clean2,False,0.0,,34.263116642390926,0.0,28.881912686000003,0.0,34.263116642390926,0.0,-5.381203956390923,0.0,1720009242.0657706,1720009270.9511352
2,move_action_node_robot2,move,robot2_clean1_entrance,False,0.0,,11.470024172520123,0.0,13.361667371000001,0.0,11.470024172520123,0.0,1.891643198479878,0.0,1720009262.7686198,1720009276.1341581
2,move_action_node_robot1,move,robot1_clean2_clean3,False,0.0,,12.609568803220826,0.0,16.582296691,0.0,12.609568803220826,0.0,3.9727278877791736,0.0,1720009273.0788581,1720009289.6658237
2,attend_action_node_robot2,attend_person,robot2_persona_entrance_sofa,False,0.0,,20.382140486294993,0.0,24.820765548,0.0,20.382140486294993,0.0,4.438625061705007,0.0,1720009278.270673,1720009303.0945418
2,move_action_node_robot2,move,robot2_sofa_start_wp_robot1,False,0.0,,13.08616177852488,0.0,20.961161976,0.0,13.08616177852488,0.0,7.875000197475119,0.0,1720009305.2659621,1720009326.2295718
2,move_action_node_robot2,move,robot2_start_wp_robot1_hall,False,0.0,,4.650037805490043,0.0,5.461006847,0.0,4.650037805490043,0.0,0.8109690415099573,0.0,1720009328.3718305,1720009333.8348444
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.68602455402947,0.0,42.26071704,0.0,38.68602455402947,0.0,3.5746924859705302,0.0,1720009291.885017,1720009334.1491468
