type,node_id,action,arguments,success,completion,status,nominal_cost,nominal_cost_std_dev,measured_cost,measured_cost_std_dev,estimated_cost,estimated_cost_std,residual_cost,residual_cost_std,t_start,t_end
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.84258266970564,0.0,9.465225646,0.0,7.84258266970564,0.0,1.62264297629436,1.0,1723130605.6311688,1723130615.1089034
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.789644691317973,0.0,16.942720066,0.0,9.789644691317973,0.0,7.153075374682027,1.0,1723130605.6335788,1723130622.5804133
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,22.42355665779791,0.0,14.210950473,0.0,22.42355665779791,0.0,-8.21260618479791,1.0,1723130622.8362653,1723130637.0534368
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.19587203246045,0.0,29.661344484,0.0,34.19587203246045,0.0,-4.534527548460449,1.0,1723130615.3415594,1723130645.0116112
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.1707497489062,0.0,13.861591031000001,0.0,9.1707497489062,0.0,4.6908412820938015,1.0,1723130645.236147,1723130659.1013763
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.48089227892643,0.0,22.961321558,0.0,19.48089227892643,0.0,3.4804292790735722,1.0,1723130637.3422318,1723130660.310865
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100459591,0.0,0.0,0.0,10.100459591,1.0,1723130659.3275354,1723130669.4397984
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.534790908128514,0.0,35.161966054000004,0.0,38.534790908128514,0.0,-3.3728248541285097,1.0,1723130660.641979,1723130695.8105097
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.691467984995203,0.0,21.861869033,0.0,20.691467984995203,0.0,1.1704010480047984,1.0,1723130696.0459101,1723130717.9099326
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.905397878811026,0.0,24.161450956000003,0.0,20.905397878811026,0.0,3.2560530771889766,1.0,1723130718.1407018,1723130742.3059173
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,5.441710790411279,0.0,9.811133494,0.0,5.441710790411279,0.0,4.369422703588721,1.0,1723130749.2315428,1723130759.0456748
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.098261583480395,0.0,16.963727466,0.0,13.098261583480395,0.0,3.865465882519606,1.0,1723130749.2268813,1723130766.1940975
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.727828099384519,0.0,20.790822404,0.0,9.350471075678879,1.0,9.249543861841774,0.6666666666666667,1723130773.7319636,1723130794.5276809
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.749949937942207,0.0,30.401158452,0.0,16.903025312624234,1.0,16.151830800932537,0.6666666666666667,1723130773.7338958,1723130804.1397433
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,20.59484927978456,0.0,14.512426448000001,0.0,12.382243094986652,1.0,-6.7924839494556775,0.6666666666666667,1723130804.439321,1723130818.958832
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.52283013537478,0.0,29.010606596000002,0.0,29.988302586914333,1.0,-5.18632487573667,0.6666666666666667,1723130794.8371096,1723130823.8516092
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,8.997852159454915,0.0,10.461009956,0.0,13.688693441548716,1.0,2.5390522917279905,0.6666666666666667,1723130824.1367667,1723130834.6011972
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.741096429034126,0.0,25.311439989,0.0,23.2215257081077,1.0,4.873705466335107,0.6666666666666667,1723130819.2258246,1723130844.5412283
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100345370000001,0.0,10.100459591,1.0,10.100383443666667,0.6666666666666667,1723130834.8153129,1723130844.922572
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,39.011020907690536,0.0,31.010795035,0.0,35.63819605356203,1.0,-6.457758866503193,0.6666666666666667,1723130844.8361993,1723130875.8495977
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.78950669135392,0.0,21.310772385,0.0,21.95990773935872,1.0,0.7376441450989855,0.6666666666666667,1723130876.1249762,1723130897.4385254
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.5313947105383,0.0,24.260984115000003,0.0,23.787447787727277,1.0,3.5717439620374605,0.6666666666666667,1723130897.7428186,1723130922.0076191
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,4.667211679620019,0.0,9.712025303,0.0,9.036634383208739,1.0,4.8196833167828945,0.6666666666666667,1723130928.7496932,1723130938.4652524
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,13.21085308589936,0.0,17.711283459,0.0,17.076318968418967,1.0,4.288775542906962,0.6666666666666667,1723130928.749796,1723130946.4647202
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.7999966326996795,0.0,20.100993084000002,0.0,17.049540494541453,0.6666666666666667,11.156701730253367,0.6250000000000002,1723130954.185942,1723130974.2892618
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.800242053550344,0.0,24.873143737000003,0.0,25.95207285448288,0.6666666666666667,15.477500102505738,0.6250000000000002,1723130954.1831915,1723130979.0591795
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,22.294252431594856,0.0,14.760757194000002,0.0,15.501768482139179,0.6666666666666667,-7.255616004542663,0.6250000000000002,1723130979.3070414,1723130994.0703073
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.49731779324612,0.0,29.921128535,0.0,29.31099291750945,0.6666666666666667,-4.804990114805075,0.6250000000000002,1723130974.6096036,1723131004.5337565
2,move_action_node_robot1,move,robot1_clean1_clean3,False,0.0,,19.625896705556325,0.0,22.511055480000003,0.0,24.499602171891432,0.6666666666666667,3.6308637839029636,0.6250000000000002,1723130994.3827403,1723131016.8968174
2,move_action_node_robot2,move,robot2_clean2_hall,False,0.0,,9.204221520301967,0.0,12.260745148000002,0.0,11.743273812029958,0.6666666666666667,2.862471876709268,0.6250000000000002,1723131004.7861886,1723131017.0513766
2,patrol_action_node_robot2,patrol,robot2_hall,False,0.0,,0.0,0.0,10.100305821000001,0.0,10.100383443666667,0.6666666666666667,10.1003349295,0.6250000000000002,1723131017.2795713,1723131027.3826342
2,clean_action_node_robot1,clean,robot1_room3_clean3,False,0.0,,38.68222405640314,0.0,42.200772964,0.0,32.22446518989995,0.6666666666666667,-0.22256650769066155,0.6250000000000002,1723131017.1080089,1723131059.3125894
2,move_action_node_robot1,move,robot1_clean3_entrance,False,0.0,,20.792071636261237,0.0,21.910969512,0.0,21.529715781360224,0.6666666666666667,0.9759277267488469,0.6250000000000002,1723131059.5833566,1723131081.4972908
2,attend_action_node_robot1,attend_person,robot1_persona_entrance_sofa,False,0.0,,20.368474560659212,0.0,24.331035394,0.0,23.94021852269667,0.6666666666666667,3.8160045066020403,0.6250000000000002,1723131081.798143,1723131106.1317408
2,move_action_node_robot2,move,robot2_hall_start_wp_robot2,False,0.0,,5.132915553920129,0.0,9.761256784,0.0,9.952598870703024,0.6666666666666667,4.700094512593505,0.6250000000000002,1723131113.0548816,1723131122.8190846
2,move_action_node_robot1,move,robot1_sofa_start_wp_robot1,False,0.0,,12.963458548559545,0.0,17.161419609,0.0,17.25223409146651,0.6666666666666667,4.232016491365394,0.6250000000000002,1723131113.0534768,1723131130.2186563
2,move_action_node_robot2,move,robot2_start_wp_robot2_clean2,False,0.0,,7.657546208024044,0.0,18.283743453,0.0,18.81424793827741,0.6250000000000002,10.828294191748302,0.6190476190476191,1723131138.70428,1723131156.9980547
2,move_action_node_robot1,move,robot1_start_wp_robot1_clean1,False,0.0,,9.42371227454235,0.0,25.502962277,0.0,24.90121237704809,0.6250000000000002,15.850011945333113,0.6190476190476191,1723131138.705267,1723131164.2164254
2,clean_action_node_robot1,clean,robot1_room1_clean1,False,0.0,,23.609257554105522,0.0,15.220889474000002,0.0,16.35364154956286,0.6250000000000002,-7.9568434798910985,0.6190476190476191,1723131164.5129366,1723131179.7379951
2,clean_action_node_robot2,clean,robot2_room2_clean2,False,0.0,,34.73750657454904,0.0,29.511306991,0.0,29.93251645974396,0.6250000000000002,-5.065738833551337,0.6190476190476191,1723131157.313931,1723131186.830069
